budget;homepage;id;original_language;original_title;popularity;release_date;revenue;runtime;status;tagline;title;vote_average;vote_count
237000000;http://www.avatarmovie.com/;19995;en;Avatar;150.437.577;10/12/2009;2787965087;162;Released;Enter the World of Pandora.;Avatar;7.2;11800
300000000;http://disney.go.com/disneypictures/pirates/;285;en;Pirates of the Caribbean: At World's End;139.082.615;19/05/2007;961000000;169;Released;At the end of the world, the adventure begins.;Pirates of the Caribbean: At World's End;6.9;4500
245000000;http://www.sonypictures.com/movies/spectre/;206647;en;Spectre;107.376.788;26/10/2015;880674609;148;Released;A Plan No One Escapes;Spectre;6.3;4466
250000000;http://www.thedarkknightrises.com/;49026;en;The Dark Knight Rises;11.231.295;16/07/2012;1084939099;165;Released;The Legend Ends;The Dark Knight Rises;7.6;9106
260000000;http://movies.disney.com/john-carter;49529;en;John Carter;43.926.995;07/03/2012;284139100;132;Released;Lost in our world, found in another.;John Carter;6.1;2124
258000000;http://www.sonypictures.com/movies/spider-man3/;559;en;Spider-Man 3;115.699.814;01/05/2007;890871626;139;Released;The battle within.;Spider-Man 3;5.9;3576
260000000;http://disney.go.com/disneypictures/tangled/;38757;en;Tangled;48.681.969;24/11/2010;591794936;100;Released;They're taking adventure to new lengths.;Tangled;7.4;3330
280000000;http://marvel.com/movies/movie/193/avengers_age_of_ultron;99861;en;Avengers: Age of Ultron;134.279.229;22/04/2015;1405403694;141;Released;A New Age Has Come.;Avengers: Age of Ultron;7.3;6767
250000000;http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html;767;en;Harry Potter and the Half-Blood Prince;98.885.637;07/07/2009;933959197;153;Released;Dark Secrets Revealed;Harry Potter and the Half-Blood Prince;7.4;5293
250000000;http://www.batmanvsupermandawnofjustice.com/;209112;en;Batman v Superman: Dawn of Justice;155.790.452;23/03/2016;873260194;151;Released;Justice or revenge;Batman v Superman: Dawn of Justice;5.7;7004
270000000;http://www.superman.com;1452;en;Superman Returns;57.925.623;28/06/2006;391081192;154;Released;;Superman Returns;5.4;1400
200000000;http://www.mgm.com/view/movie/234/Quantum-of-Solace/;10764;en;Quantum of Solace;107.928.811;30/10/2008;586090727;106;Released;For love, for hate, for justice, for revenge.;Quantum of Solace;6.1;2965
200000000;http://disney.go.com/disneypictures/pirates/;58;en;Pirates of the Caribbean: Dead Man's Chest;145.847.379;20/06/2006;1065659812;151;Released;Jack is back!;Pirates of the Caribbean: Dead Man's Chest;7;5246
255000000;http://disney.go.com/the-lone-ranger/;57201;en;The Lone Ranger;49.046.956;03/07/2013;89289910;149;Released;Never Take Off the Mask;The Lone Ranger;5.9;2311
225000000;http://www.manofsteel.com/;49521;en;Man of Steel;99.398.009;12/06/2013;662845518;143;Released;You will believe that a man can fly.;Man of Steel;6.5;6359
225000000;;2454;en;The Chronicles of Narnia: Prince Caspian;53.978.602;15/05/2008;419651413;150;Released;Hope has a new face.;The Chronicles of Narnia: Prince Caspian;6.3;1630
220000000;http://marvel.com/avengers_movie/;24428;en;The Avengers;144.448.633;25/04/2012;1519557910;143;Released;Some assembly required.;The Avengers;7.4;11776
380000000;http://disney.go.com/pirates/index-on-stranger-tides.html#/video/;1865;en;Pirates of the Caribbean: On Stranger Tides;135.413.856;14/05/2011;1045713802;136;Released;Live Forever Or Die Trying.;Pirates of the Caribbean: On Stranger Tides;6.4;4948
225000000;http://www.sonypictures.com/movies/meninblack3/;41154;en;Men in Black 3;52.035.179;23/05/2012;624026776;106;Released;They are back... in time.;Men in Black 3;6.2;4160
250000000;http://www.thehobbit.com/;122917;en;The Hobbit: The Battle of the Five Armies;120.965.743;10/12/2014;956019788;144;Released;Witness the defining chapter of the Middle-Earth saga;The Hobbit: The Battle of the Five Armies;7.1;4760
215000000;http://www.theamazingspiderman.com;1930;en;The Amazing Spider-Man;89.866.276;27/06/2012;752215857;136;Released;The untold story begins.;The Amazing Spider-Man;6.5;6586
250000000;http://www.thehobbit.com/;57158;en;The Hobbit: The Desolation of Smaug;94.370.564;11/12/2013;958400000;161;Released;Beyond darkness... beyond desolation... lies the greatest danger of all.;The Hobbit: The Desolation of Smaug;7.6;4524
180000000;http://www.goldencompassmovie.com/index_german.html;2268;en;The Golden Compass;42.990.906;04/12/2007;372234864;113;Released;There are worlds beyond our own - the compass will show the way.;The Golden Compass;5.8;1303
207000000;;254;en;King Kong;6.122.601;14/12/2005;550000000;187;Released;The eighth wonder of the world.;King Kong;6.6;2337
200000000;http://www.titanicmovie.com;597;en;Titanic;100.025.899;18/11/1997;1845034188;194;Released;Nothing on Earth could come between them.;Titanic;7.5;7562
250000000;http://marvel.com/captainamericapremiere;271110;en;Captain America: Civil War;198.372.395;27/04/2016;1153304495;147;Released;Divided We Fall;Captain America: Civil War;7.1;7241
209000000;;44833;en;Battleship;64.928.382;11/04/2012;303025485;131;Released;The Battle for Earth Begins at Sea;Battleship;5.5;2114
150000000;http://www.jurassicworld.com/;135397;en;Jurassic World;418.708.552;09/06/2015;1513528810;124;Released;The park is open.;Jurassic World;6.5;8662
200000000;http://www.skyfall-movie.com;37724;en;Skyfall;93.004.993;25/10/2012;1108561013;143;Released;Think on your sins.;Skyfall;6.9;7604
200000000;http://www.sonypictures.com/movies/spider-man2/;558;en;Spider-Man 2;35.149.586;25/06/2004;783766341;127;Released;There's a hero in all of us.;Spider-Man 2;6.7;4321
200000000;http://marvel.com/ironman3;68721;en;Iron Man 3;7.768.208;18/04/2013;1215439994;130;Released;Unleash the power behind the armor.;Iron Man 3;6.8;8806
200000000;http://disney.go.com/wonderland/;12155;en;Alice in Wonderland;78.530.105;03/03/2010;1025491110;108;Released;You're invited to a very important date.;Alice in Wonderland;6.4;4645
210000000;;36668;en;X-Men: The Last Stand;3.857.526;24/05/2006;459359555;104;Released;Take a Stand;X-Men: The Last Stand;6.3;3525
200000000;;62211;en;Monsters University;89.186.492;20/06/2013;743559607;104;Released;School never looked this scary.;Monsters University;7;3528
150000000;http://www.transformersmovie.com/;8373;en;Transformers: Revenge of the Fallen;21.939.663;19/06/2009;836297228;150;Released;Revenge is coming.;Transformers: Revenge of the Fallen;6;3138
210000000;http://www.transformersmovie.com;91314;en;Transformers: Age of Extinction;116.840.296;25/06/2014;1091405097;165;Released;This is not war. It's extinction.;Transformers: Age of Extinction;5.8;3095
200000000;http://www.ozthegreatandpowerfulmovie.com;68728;en;Oz: The Great and Powerful;46.985.445;07/03/2013;491868548;130;Released;In Oz, nothing is what it seems;Oz: The Great and Powerful;5.7;3530
200000000;http://www.theamazingspiderman.com;102382;en;The Amazing Spider-Man 2;89.270.217;16/04/2014;705717432;142;Released;No more secrets.;The Amazing Spider-Man 2;6.5;4179
170000000;http://disney.go.com/tron/;20526;en;TRON: Legacy;7.379.505;10/12/2010;400062763;125;Released;The Game Has Changed.;TRON: Legacy;6.3;2841
200000000;http://www.disney.go.com/cars/;49013;en;Cars 2;4.998.659;11/06/2011;559852396;106;Released;Ka-ciao!;Cars 2;5.8;2033
200000000;http://greenlanternmovie.warnerbros.com/;44912;en;Green Lantern;51.872.839;16/06/2011;219851172;114;Released;In our darkest hour, there will be light.;Green Lantern;5.1;2487
200000000;http://disney.go.com/toystory/;10193;en;Toy Story 3;59.995.418;16/06/2010;1066969703;103;Released;No toy gets left behind.;Toy Story 3;7.6;4597
200000000;https://www.warnerbros.com/terminator-salvation;534;en;Terminator Salvation;71.862.892;20/05/2009;371353001;115;Released;The End Begins.;Terminator Salvation;5.9;2463
190000000;http://www.furious7.com/;168259;en;Furious 7;102.322.217;01/04/2015;1506249360;137;Released;Vengeance Hits Home;Furious 7;7.3;4176
200000000;http://www.worldwarzmovie.com;72190;en;World War Z;81.834.855;20/06/2013;531865000;116;Released;Remember Philly!;World War Z;6.7;5560
250000000;http://www.x-menmovies.com/;127585;en;X-Men: Days of Future Past;118.078.691;15/05/2014;747862775;131;Released;To save the future, they must alter the past;X-Men: Days of Future Past;7.5;6032
190000000;;54138;en;Star Trek Into Darkness;78.291.018;05/05/2013;467365246;132;Released;Earth Will Fall;Star Trek Into Darkness;7.4;4418
195000000;http://jackthegiantkiller.warnerbros.com;81005;en;Jack the Giant Slayer;43.349.855;27/02/2013;197687603;114;Released;Prepare for a giant adventure;Jack the Giant Slayer;5.5;2598
105000000;;64682;en;The Great Gatsby;61.196.071;10/05/2013;351040419;143;Released;Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.;The Great Gatsby;7.3;3769
150000000;http://disney.go.com/disneypictures/princeofpersia;9543;en;Prince of Persia: The Sands of Time;62.169.881;19/05/2010;335154643;116;Released;Defy the Future;Prince of Persia: The Sands of Time;6.2;2317
180000000;http://www.pacificrimmovie.com/;68726;en;Pacific Rim;56.523.205;11/07/2013;407602906;131;Released;To Fight Monsters, We Created Monsters;Pacific Rim;6.7;4794
195000000;http://www.transformersmovie.com/;38356;en;Transformers: Dark of the Moon;28.529.607;28/06/2011;1123746996;154;Released;The invasion we always feared. An enemy we never expected.;Transformers: Dark of the Moon;6.1;3299
185000000;http://www.indianajones.com/site/index.html;217;en;Indiana Jones and the Kingdom of the Crystal Skull;75.674.458;21/05/2008;786636033;122;Released;The adventure continues . . .;Indiana Jones and the Kingdom of the Crystal Skull;5.7;2495
